Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8132,1.5u,C_0603_1608Metric,34.67,35.605,-90.0,top
C8141,1u,C_0603_1608Metric,7.035,36.42,0.0,top
C8142,1.5u,C_0603_1608Metric,4.61,35.625,-90.0,top
C8151,1u,C_0603_1608Metric,-14.555,33.84,180.0,top
C8152,1.5u,C_0603_1608Metric,-12.13,34.635,90.0,top
C8161,1u,C_0603_1608Metric,-44.515,33.85,180.0,top
C8162,1.5u,C_0603_1608Metric,-42.09,34.645,90.0,top
C821,1u,C_0603_1608Metric,7.025,126.58,0.0,top
C822,1.5u,C_0603_1608Metric,4.6,125.785,-90.0,top
C831,1u,C_0603_1608Metric,-14.495,123.85,180.0,top
C832,1.5u,C_0603_1608Metric,-12.07,124.645,90.0,top
C841,1u,C_0603_1608Metric,-44.495,123.86,180.0,top
C842,1.5u,C_0603_1608Metric,-42.07,124.655,90.0,top
C851,1u,C_0603_1608Metric,45.495,93.86,180.0,top
C852,1.5u,C_0603_1608Metric,47.92,94.655,90.0,top
C861,1u,C_0603_1608Metric,15.475,93.84,180.0,top
C862,1.5u,C_0603_1608Metric,17.9,94.635,90.0,top
C871,1u,C_0603_1608Metric,-23.065,96.29,0.0,top
C872,1.5u,C_0603_1608Metric,-25.49,95.495,-90.0,top
C881,1u,C_0603_1608Metric,-44.555,93.79,180.0,top
C882,1.5u,C_0603_1608Metric,-42.13,94.585,90.0,top
C891,1u,C_0603_1608Metric,45.495,63.84,180.0,top
C892,1.5u,C_0603_1608Metric,47.92,64.635,90.0,top
C91,100n,C_0402_1005Metric,-2.62,105.49,0.0,top
C92,2.2u,C_0603_1608Metric,-2.045,104.29,0.0,top
C93,100n,C_0402_1005Metric,-2.37,45.09,0.0,top
C94,2.2u,C_0603_1608Metric,-1.81,43.9,0.0,top
C95,100n,C_0402_1005Metric,-8.95,81.22,-90.0,top
C96,2.2u,C_0603_1608Metric,-10.4,80.87,-90.0,top
C97,47n,C_0402_1005Metric,-11.25,84.2,90.0,top
C98,1n,C_0402_1005Metric,-10.22,84.2,90.0,top
D101,SZYY1615RGB-B 4PIN,LED-SMD_4P-L1.6-W1.5-TR-1,-12.64,141.73,180.0,top
D51,PRTR5V0U2X,SOT-143,-3.79516,133.75,180.0,top
D61,ESD9M5.0ST5G,SODFL1060X40N,-19.77,133.5,180.0,top
D62,ESD9M5.0ST5G,SODFL1060X40N,-19.75,138.58,180.0,top
D63,ESD9M5.0ST5G,SODFL1060X40N,-19.78,134.76,180.0,top
FL11,BLM18EG101TN1D,BEADC1608X65N,38.755,80.22,0.0,top
FL51,BLM18EG101TN1D,BEADC1608X65N,-0.37016,134.3,180.0,top
H61,FTSH-105-01-F-DV-K,HDR-SMD_FTSH-105-01-F-DV-K,-14.62,136.04,90.0,top
J11,533980271,MOLEX_533980271,57.35,91.555,-90.0,top
J51,TYPE-C16PIN,CONN16_C16PIN_SHN,-3.79516,140.1407,180.0,top
L1,DFE201612E-2R2M=P2,L0806,28.9,76.84,90.0,top
L121,4.7nH,INDC1005X04L,-35.8674,138.48399,90.0,top
L122,NC,L_0402_1005Metric,-30.77,141.385,-90.0,top
L123,NC,L_0402_1005Metric,-33.59,141.505,-90.0,top
R101,1k,R_0402_1005Metric,-13.69,140.12,180.0,top
R102,330,R_0402_1005Metric,-14.19,141.74,-90.0,top
R103,249,R_0402_1005Metric,-12.79,143.28,180.0,top
R111,1,R_0402_1005Metric,-16.14,78.25,0.0,top
R112,22,R_0402_1005Metric,-21.57,83.55,0.0,top
R113,33,R_0402_1005Metric,-21.57,84.49,0.0,top
R114,33,R_0402_1005Metric,-21.57,85.43,0.0,top
R115,33,R_0402_1005Metric,-21.57,82.61,0.0,top
R121,22,R_0402_1005Metric,-33.65,127.47,90.0,top
R122,22,R_0402_1005Metric,-34.69,127.99,90.0,top
R123,22,R_0402_1005Metric,-32.55,127.48,90.0,top
R124,22,R_0402_1005Metric,-32.93,125.61,90.0,top
R125,0,R_0402_1005Metric,-32.19,142.0,180.0,top
R131,10k,R_0402_1005Metric,50.04,83.31,90.0,top
R132,12.1k,R_0402_1005Metric,49.575,81.91,180.0,top
R133,2.2k,R_0402_1005Metric,51.98,83.67,-90.0,top
R134,12.0k,R_0402_1005Metric,52.44,81.91,0.0,top
R21,22,R_0402_1005Metric,-9.25,88.51,180.0,top
R31,1.74k,R_0402_1005Metric,29.25,79.46,180.0,top
R32,3.16k,R_0402_1005Metric,30.06,74.15,180.0,top
R41,2.2Mega,R_0402_1005Metric,12.8,76.71,-90.0,top
R42,2.2Mega,R_0402_1005Metric,13.99,76.7,-90.0,top
R43,3.16k,R_0402_1005Metric,13.46,82.84,180.0,top
R44,3.16k,R_0402_1005Metric,11.6,82.84,180.0,top
R45,22,R_0402_1005Metric,3.95,83.97,180.0,top
R51,5.1k,R_0402_1005Metric,-6.99516,135.1,-90.0,top
R52,5.1k,R_0402_1005Metric,-5.94516,135.1,-90.0,top
R61,22,CAPC1005X04L,-29.396175,136.78976,0.0,top
R62,22,CAPC1005X04L,-29.996175,137.67976,0.0,top
R63,22,CAPC1005X04L,-27.716175,134.24976,0.0,top
R64,10k,CAPC1005X04L,-27.316175,135.18976,0.0,top
R65,47k,CAPC1005X04L,-26.436175,137.69976,180.0,top
R66,47k,CAPC1005X04L,-27.85618,136.639765,-90.0,top
R7101,100M,R_0805_2012Metric,11.22,64.1675,-90.0,top
R7102,10k,R_0402_1005Metric,10.04,66.45,180.0,top
R7103,1M,R_0603_1608Metric,13.22,62.965,-90.0,top
R711,100M,R_0805_2012Metric,41.26,126.0125,90.0,top
R7111,100M,R_0805_2012Metric,-18.81,66.0325,90.0,top
R7112,10k,R_0402_1005Metric,-17.63,63.75,0.0,top
R7113,1M,R_0603_1608Metric,-20.81,67.235,90.0,top
R712,10k,R_0402_1005Metric,42.44,123.73,0.0,top
R7121,100M,R_0805_2012Metric,-48.8,64.1775,-90.0,top
R7122,10k,R_0402_1005Metric,-49.98,66.46,180.0,top
R7123,1M,R_0603_1608Metric,-46.8,62.975,-90.0,top
R713,1M,R_0603_1608Metric,39.26,127.215,90.0,top
R7131,100M,R_0805_2012Metric,41.38,36.0725,90.0,top
R7132,10k,R_0402_1005Metric,42.56,33.79,0.0,top
R7133,1M,R_0603_1608Metric,39.38,37.275,90.0,top
R7141,100M,R_0805_2012Metric,11.32,36.0925,90.0,top
R7142,10k,R_0402_1005Metric,12.5,33.81,0.0,top
R7143,1M,R_0603_1608Metric,9.32,37.295,90.0,top
R7151,100M,R_0805_2012Metric,-18.84,34.1675,-90.0,top
R7152,10k,R_0402_1005Metric,-20.02,36.45,180.0,top
R7153,1M,R_0603_1608Metric,-16.84,32.965,-90.0,top
R7161,100M,R_0805_2012Metric,-48.8,34.1775,-90.0,top
R7162,10k,R_0402_1005Metric,-49.98,36.46,180.0,top
R7163,1M,R_0603_1608Metric,-46.8,32.975,-90.0,top
R721,100M,R_0805_2012Metric,11.31,126.2525,90.0,top
R722,10k,R_0402_1005Metric,12.49,123.97,0.0,top
R723,1M,R_0603_1608Metric,9.31,127.455,90.0,top
R731,100M,R_0805_2012Metric,-18.78,124.1775,-90.0,top
R732,10k,R_0402_1005Metric,-19.96,126.46,180.0,top
R733,1M,R_0603_1608Metric,-16.78,122.975,-90.0,top
R741,100M,R_0805_2012Metric,-48.78,124.1875,-90.0,top
R742,10k,R_0402_1005Metric,-49.96,126.47,180.0,top
R743,1M,R_0603_1608Metric,-46.78,122.985,-90.0,top
R751,100M,R_0805_2012Metric,41.21,94.1875,-90.0,top
R752,10k,R_0402_1005Metric,40.03,96.47,180.0,top
R753,1M,R_0603_1608Metric,43.21,92.985,-90.0,top
R761,100M,R_0805_2012Metric,11.19,94.1675,-90.0,top
R762,10k,R_0402_1005Metric,10.01,96.45,180.0,top
R763,1M,R_0603_1608Metric,13.19,92.965,-90.0,top
R771,100M,R_0805_2012Metric,-18.78,95.9625,90.0,top
R772,10k,R_0402_1005Metric,-17.6,93.68,0.0,top
R773,1M,R_0603_1608Metric,-20.78,97.165,90.0,top
R781,100M,R_0805_2012Metric,-48.84,94.1175,-90.0,top
R782,10k,R_0402_1005Metric,-50.02,96.4,180.0,top
R783,1M,R_0603_1608Metric,-46.84,92.915,-90.0,top
